in,rank,accesses,reads,writes
2936,322,92,46,46
3040,323,92,41,51
2568,324,92,46,46
2424,325,92,43,49
2456,326,92,47,45
2576,327,92,50,42
2504,328,91,45,46
2584,329,91,43,48
2328,330,91,46,45
2544,331,90,48,42
2760,332,90,43,47
2640,333,90,43,47
2352,334,89,45,44
2688,335,89,49,40
2904,336,89,46,43
2768,337,89,51,38
2808,338,89,52,37
2960,339,88,49,39
2320,340,88,47,41
2600,341,88,44,44
2888,342,88,46,42
3000,343,88,42,46
2344,344,87,53,34
3080,345,87,53,34
2816,346,87,46,41
2360,347,86,36,50
2656,348,86,49,37
2720,349,85,38,47
2520,350,85,39,46
3120,351,85,43,42
3704,352,85,41,44
2696,353,85,43,42
2264,354,84,41,43
2840,355,84,35,49
3208,356,84,44,40
2832,357,84,43,41
2648,358,83,36,47
3088,359,83,39,44
2992,360,82,41,41
3264,361,82,36,46
2552,362,82,37,45
3320,363,82,37,45
2496,364,81,42,39
2728,365,81,39,42
2968,366,81,38,43
2712,367,81,42,39
2440,368,81,39,42
2528,369,81,41,40
2824,370,81,43,38
3024,371,81,39,42
3160,372,80,46,34
2848,373,80,33,47
2944,374,80,41,39
3288,375,80,43,37
2624,376,80,39,41
3112,377,80,38,42
3152,378,80,47,33
3248,379,80,38,42
3600,380,79,41,38
3512,381,79,36,43
2952,382,79,39,40
3368,383,79,35,44
3568,384,79,42,37
3168,385,78,37,41
2592,386,78,46,32
3128,387,78,39,39
2864,388,78,42,36
3376,389,78,41,37
3560,390,78,43,35
3688,391,77,43,34
3192,392,77,43,34
4064,393,77,37,40
3280,394,77,43,34
3496,395,76,36,40
3184,396,76,40,36
3424,397,76,40,36
3104,398,76,42,34
3272,399,75,41,34
3096,400,74,33,41
3640,401,74,36,38
3048,402,74,33,41
2472,403,74,35,39
2776,404,74,38,36
3312,405,74,33,41
2464,406,74,42,32
3016,407,74,30,44
3584,408,74,44,30
3176,409,73,40,33
2680,410,73,35,38
3992,411,73,39,34
3408,412,73,38,35
3536,413,73,29,44
3664,414,73,30,43
2792,415,72,44,28
3552,416,72,36,36
3672,417,72,37,35
2608,418,72,31,41
3856,419,72,37,35
3056,420,71,36,35
3840,421,71,33,38
2928,422,71,36,35
3032,423,71,47,24
4992,424,71,40,31
3464,425,71,33,38
4536,426,70,39,31
2984,427,70,28,42
3712,428,70,41,29
3592,429,70,36,34
3680,430,69,31,38
3696,431,69,38,31
3144,432,69,35,34
3008,433,69,35,34
3448,434,69,31,38
3616,435,69,41,28
2880,436,68,42,26
4824,437,68,33,35
3656,438,68,40,28
4248,439,68,32,36
3848,440,68,29,39
3352,441,68,38,30
4680,442,68,38,30
3760,443,68,34,34
4192,444,67,32,35
3480,445,67,35,32
3528,446,67,43,24
3792,447,67,42,25
4504,448,67,31,36
5632,449,67,38,29
3256,450,67,30,37
4032,451,67,28,39
3328,452,66,33,33
4376,453,66,29,37
3216,454,66,33,33
3944,455,66,33,33
3232,456,66,47,19
5704,457,66,43,23
3064,458,66,37,29
3360,459,66,31,35
4256,460,66,31,35
4808,461,66,36,30
3744,462,65,32,33
3400,463,65,36,29
3976,464,65,34,31
3304,465,65,36,29
3544,466,65,31,34
4320,467,65,26,39
5072,468,65,34,31
4400,469,65,33,32
4624,470,65,31,34
3576,471,65,31,34
3888,472,64,37,27
3240,473,64,36,28
3344,474,64,34,30
4304,475,64,38,26
4144,476,64,31,33
4424,477,63,27,36
4616,478,63,31,32
5216,479,63,32,31
4640,480,63,28,35
3952,481,63,33,30
3472,482,63,42,21
4008,483,63,43,20
5384,484,63,24,39
3296,485,63,32,31
3416,486,63,36,27
3912,487,63,35,28
3440,488,62,29,33
4408,489,62,26,36
4360,490,62,31,31
3736,491,62,38,24
3768,492,62,32,30
5696,493,62,32,30
3928,494,62,27,35
4488,495,62,27,35
4328,496,62,31,31
4024,497,62,38,24
4584,498,62,28,34
3872,499,61,24,37
4096,500,61,40,21
4088,501,61,31,30
4336,502,61,39,22
3728,503,61,31,30
3984,504,61,33,28
4784,505,61,33,28
2872,506,61,26,35
4272,507,61,25,36
3784,508,61,31,30
4056,509,61,35,26
4656,510,60,31,29
3800,511,60,25,35
3624,512,60,27,33
4856,513,60,32,28
4000,514,60,34,26
3200,515,60,29,31
3960,516,60,24,36
3648,517,60,35,25
4768,518,59,26,33
3432,519,59,31,28
3936,520,59,29,30
4472,521,59,36,23
4840,522,59,27,32
3392,523,59,27,32
3832,524,59,28,31
4544,525,59,28,31
4280,526,59,32,27
4880,527,59,28,31
3776,528,59,35,24
4312,529,59,30,29
3720,530,59,25,34
4944,531,59,31,28
4552,532,59,31,28
4352,533,59,27,32
3336,534,59,26,33
3608,535,59,33,26
3136,536,59,35,24
4288,537,58,31,27
4464,538,58,23,35
5048,539,58,25,33
4112,540,58,27,31
4128,541,58,30,28
3896,542,58,25,33
5104,543,58,26,32
5944,544,58,27,31
5168,545,58,22,36
4664,546,58,33,25
4216,547,58,29,29
5488,548,58,35,23
5440,549,57,33,24
4080,550,57,21,36
4048,551,57,24,33
3520,552,57,37,20
4240,553,57,21,36
3824,554,57,31,26
5768,555,57,25,32
3488,556,57,28,29
3632,557,57,33,24
4120,558,57,30,27
4392,559,57,29,28
5144,560,56,24,32
3504,561,56,27,29
3880,562,56,25,31
5448,563,56,24,32
5688,564,56,32,24
4168,565,56,24,32
4896,566,56,29,27
4928,567,56,26,30
4016,568,56,32,24
4344,569,56,31,25
5392,570,56,37,19
4296,571,55,25,30
4416,572,55,26,29
3864,573,55,27,28
4456,574,55,26,29
4208,575,55,28,27
4648,576,55,28,27
4448,577,55,25,30
5640,578,55,26,29
3456,579,55,30,25
4160,580,55,28,27
5848,581,54,27,27
5376,582,54,24,30
4512,583,54,33,21
4384,584,54,29,25
4368,585,54,24,30
4184,586,54,36,18
3808,587,54,23,31
5264,588,54,31,23
3920,589,54,32,22
5024,590,54,30,24
4432,591,54,22,32
4904,592,54,30,24
5280,593,54,27,27
5344,594,54,29,25
4224,595,54,31,23
5792,596,54,27,27
4040,597,53,29,24
5248,598,53,18,35
4592,599,53,30,23
5512,600,53,24,29
4792,601,53,23,30
4200,602,53,31,22
5456,603,53,25,28
5128,604,53,21,32
5464,605,53,23,30
3904,606,53,29,24
5584,607,52,24,28
5504,608,52,34,18
4176,609,52,24,28
4696,610,52,23,29
6408,611,52,34,18
4864,612,52,21,31
5176,613,52,31,21
5680,614,52,24,28
4104,615,52,29,23
5160,616,52,29,23
4816,617,52,31,21
5240,618,52,31,21
4520,619,51,22,29
5192,620,51,32,19
4136,621,51,29,22
4480,622,51,26,25
5728,623,51,25,26
4776,624,51,24,27
4888,625,51,21,30
5920,626,51,24,27
5080,627,51,23,28
5056,628,51,29,22
4912,629,50,17,33
4968,630,50,23,27
5840,631,50,25,25
3968,632,50,28,22
6304,633,50,24,26
6960,634,50,20,30
5008,635,50,27,23
4560,636,50,29,21
4232,637,50,24,26
6416,638,50,27,23
5368,639,50,25,25
4848,640,50,26,24
5224,641,50,24,26
5672,642,50,21,29
6256,643,49,26,23
5296,644,49,30,19
5000,645,49,24,25
7064,646,49,24,25
4872,647,49,24,25
6472,648,49,25,24
6072,649,49,24,25
4440,650,49,23,26
6272,651,49,26,23
4576,652,49,28,21
6144,653,49,28,21
4952,654,48,25,23
6392,655,48,24,24
4760,656,48,29,19
6032,657,48,24,24
4728,658,48,21,27
6184,659,48,26,22
5064,660,48,31,17
3752,661,48,17,31
5200,662,48,21,27
6064,663,48,24,24
4704,664,47,24,23
5400,665,47,26,21
6136,666,47,27,20
4800,667,47,16,31
5328,668,47,29,18
5016,669,47,21,26
4832,670,47,25,22
4688,671,47,19,28
7104,672,47,25,22
7256,673,47,20,27
4672,674,47,21,26
3816,675,47,23,24
4568,676,47,24,23
5360,677,47,25,22
6112,678,47,22,25
4720,679,47,26,21
4496,680,47,27,20
5736,681,47,21,26
5968,682,46,23,23
5536,683,46,23,23
4920,684,46,22,24
5816,685,46,18,28
4632,686,46,24,22
5808,687,46,20,26
7408,688,46,26,20
5928,689,46,23,23
7208,690,46,24,22
7640,691,46,23,23
5600,692,46,21,25
8408,693,46,23,23
5992,694,46,28,18
7224,695,46,25,21
5664,696,46,26,20
5288,697,46,22,24
5608,698,45,25,20
5256,699,45,18,27
6328,700,45,21,24
4752,701,45,21,24
5208,702,45,23,22
7656,703,45,24,21
6848,704,45,22,23
7608,705,45,22,23
6688,706,45,19,26
5936,707,45,23,22
6384,708,45,19,26
6576,709,45,26,19
7024,710,45,23,22
6608,711,45,23,22
5312,712,45,21,24
6208,713,45,25,20
6048,714,45,21,24
5656,715,45,20,25
5088,716,45,28,17
5432,717,45,26,19
6096,718,45,20,25
5824,719,44,23,21
7128,720,44,23,21
6800,721,44,24,20
6152,722,44,16,28
5152,723,44,18,26
5552,724,44,25,19
5976,725,44,23,21
6288,726,44,23,21
7960,727,44,21,23
5720,728,44,22,22
5408,729,44,23,21
6352,730,44,18,26
6344,731,44,21,23
6672,732,44,25,19
5272,733,44,19,25
5624,734,44,19,25
4608,735,44,23,21
5744,736,44,17,27
5880,737,44,19,25
4960,738,44,20,24
6128,739,43,19,24
5864,740,43,21,22
7520,741,43,25,18
6816,742,43,25,18
7824,743,43,23,20
5424,744,43,21,22
8592,745,43,23,20
7016,746,43,27,16
4744,747,43,24,19
7360,748,43,26,17
6240,749,43,16,27
5904,750,43,21,22
5528,751,43,20,23
6904,752,43,15,28
5040,753,43,23,20
6040,754,43,22,21
6008,755,43,20,23
4984,756,43,16,27
6584,757,43,24,19
6880,758,43,14,29
7272,759,42,18,24
6336,760,42,19,23
7184,761,42,29,13
5648,762,42,20,22
7352,763,42,16,26
5416,764,42,22,20
6168,765,42,21,21
7584,766,42,24,18
5592,767,42,15,27
5304,768,42,18,24
5320,769,42,18,24
6464,770,42,24,18
5560,771,42,24,18
5112,772,42,21,21
5784,773,42,20,22
5544,774,42,21,21
6680,775,42,31,11
5352,776,42,20,22
6232,777,42,16,26
6448,778,41,18,23
4936,779,41,18,23
4152,780,41,22,19
5232,781,41,22,19
5184,782,41,20,21
7928,783,41,27,14
8896,784,41,18,23
7552,785,41,25,16
7736,786,41,21,20
6640,787,41,18,23
5480,788,41,20,21
7400,789,41,19,22
7328,790,41,18,23
5032,791,41,23,18
5472,792,41,23,18
9208,793,41,23,18
5712,794,41,22,19
6368,795,41,18,23
4976,796,41,14,27
7176,797,41,16,25
5136,798,41,17,24
4072,799,41,15,26
7704,800,41,24,17
6104,801,41,25,16
7464,802,41,24,17
5336,803,41,24,17
5568,804,41,19,22
4528,805,41,24,17
4600,806,40,15,25
6160,807,40,19,21
6736,808,40,18,22
10864,809,40,20,20
6264,810,40,21,19
7712,811,40,18,22
9744,812,40,16,24
7632,813,40,27,13
7096,814,40,21,19
6296,815,40,23,17
6400,816,40,19,21
6120,817,40,17,23
7600,818,40,23,17
6024,819,40,12,28
5896,820,40,23,17
5120,821,40,22,18
6664,822,40,24,16
4264,823,40,23,17
8224,824,40,20,20
8960,825,39,22,17
8320,826,39,22,17
5496,827,39,20,19
7040,828,39,16,23
4736,829,39,22,17
7088,830,39,17,22
8736,831,39,25,14
5872,832,39,20,19
7664,833,39,23,16
6592,834,39,13,26
8864,835,39,19,20
7312,836,39,25,14
8576,837,39,19,20
5984,838,39,16,23
5576,839,39,18,21
6056,840,39,20,19
7264,841,39,17,22
6912,842,39,16,23
5800,843,39,22,17
8872,844,39,15,24
6632,845,39,21,18
8688,846,39,26,13
6896,847,38,23,15
8368,848,38,18,20
6080,849,38,14,24
6280,850,38,20,18
10424,851,38,18,20
6728,852,38,20,18
5960,853,38,19,19
6216,854,38,16,22
8016,855,38,18,20
7304,856,38,23,15
6480,857,38,20,18
7232,858,38,13,25
6320,859,38,12,26
5616,860,38,26,12
7320,861,38,24,14
9192,862,38,16,22
6984,863,38,23,15
7472,864,38,19,19
6192,865,38,15,23
6944,866,38,15,23
8856,867,38,19,19
5760,868,37,23,14
9448,869,37,16,21
7424,870,37,17,20
7248,871,37,15,22
7032,872,37,22,15
8304,873,37,24,13
7160,874,37,17,20
9944,875,37,25,12
7984,876,37,15,22
6792,877,37,21,16
7416,878,37,17,20
7768,879,37,22,15
7288,880,37,23,14
7456,881,37,22,15
5888,882,37,18,19
7192,883,37,16,21
8400,884,37,19,18
8112,885,37,20,17
9328,886,37,19,18
5832,887,37,15,22
7896,888,36,16,20
10472,889,36,20,16
6968,890,36,18,18
10360,891,36,16,20
7536,892,36,19,17
8936,893,36,17,19
8336,894,36,21,15
8472,895,36,21,15
9152,896,36,18,18
6312,897,36,20,16
7792,898,36,18,18
5856,899,36,13,23
9200,900,36,15,21
6560,901,36,14,22
7800,902,36,18,18
6200,903,36,17,19
6952,904,36,16,20
6808,905,36,18,18
7528,906,36,13,23
6488,907,36,10,26
10520,908,36,19,17
7968,909,36,15,21
8296,910,36,15,21
8824,911,36,16,20
9256,912,36,16,20
9736,913,36,12,24
5952,914,36,21,15
6176,915,35,24,11
5096,916,35,14,21
8232,917,35,20,15
6496,918,35,21,14
9160,919,35,15,20
6456,920,35,21,14
7672,921,35,16,19
6720,922,35,17,18
8216,923,35,19,16
8272,924,35,21,14
7056,925,35,17,18
11040,926,35,22,13
8600,927,35,18,17
8456,928,35,19,16
6016,929,35,17,18
7376,930,35,19,16
10312,931,35,18,17
9048,932,35,18,17
6360,933,35,22,13
6752,934,35,19,16
7888,935,35,19,16
8656,936,35,20,15
9528,937,35,10,25
9768,938,35,17,18
9032,939,35,19,16
7504,940,35,19,16
9432,941,35,15,20
7832,942,35,20,15
6088,943,35,19,16
7544,944,35,21,14
7072,945,35,16,19
6888,946,35,19,16
8136,947,35,19,16
11056,948,35,16,19
6000,949,35,22,13
5776,950,35,16,19
7624,951,35,14,21
7848,952,35,18,17
8944,953,34,15,19
7912,954,34,22,12
6504,955,34,15,19
8280,956,34,21,13
8056,957,34,19,15
7784,958,34,19,15
9008,959,34,22,12
9376,960,34,15,19
6440,961,34,20,14
8096,962,34,13,21
9672,963,34,13,21
6872,964,34,20,14
8976,965,34,14,20
5520,966,34,15,19
8496,967,34,20,14
6784,968,34,13,21
8800,969,34,23,11
7432,970,34,14,20
7280,971,34,11,23
7480,972,34,23,11
6424,973,34,15,19
7336,974,34,18,16
7952,975,34,13,21
6992,976,34,17,17
9968,977,34,14,20
7296,978,34,19,15
8672,979,34,17,17
6568,980,34,17,17
6552,981,34,20,14
7560,982,33,15,18
8264,983,33,20,13
16232,984,33,17,16
11608,985,33,19,14
6600,986,33,15,18
6512,987,33,22,11
6856,988,33,18,15
6656,989,33,13,20
7216,990,33,13,20
6760,991,33,16,17
8680,992,33,13,20
7344,993,33,15,18
8448,994,33,16,17
9400,995,33,17,16
8240,996,33,11,22
12128,997,33,21,12
8544,998,33,18,15
8376,999,33,19,14
8888,1000,33,20,13
8120,1001,33,18,15
7872,1002,33,18,15
8176,1003,33,25,8
7728,1004,33,20,13
6864,1005,33,14,19
8760,1006,33,15,18
11616,1007,33,21,12
9392,1008,33,15,18
8712,1009,33,17,16
8152,1010,33,15,18
9552,1011,33,13,20
10608,1012,33,15,18
8568,1013,33,18,15
6544,1014,33,17,16
9408,1015,33,22,11
7440,1016,33,18,15
9496,1017,32,17,15
12696,1018,32,13,19
10888,1019,32,17,15
7112,1020,32,16,16
9440,1021,32,18,14
10496,1022,32,12,20
10296,1023,32,18,14
11544,1024,32,14,18
8520,1025,32,16,16
7744,1026,32,19,13
6432,1027,32,14,18
6520,1028,32,13,19
7688,1029,32,12,20
6776,1030,32,13,19
6840,1031,32,12,20
9592,1032,32,15,17
10952,1033,32,14,18
8080,1034,32,22,10
8784,1035,32,14,18
9184,1036,32,16,16
13600,1037,32,18,14
8440,1038,32,15,17
8480,1039,32,17,15
8160,1040,32,11,21
9624,1041,32,16,16
6624,1042,32,20,12
9296,1043,32,18,14
7080,1044,32,23,9
7496,1045,32,16,16
7920,1046,32,16,16
8720,1047,32,14,18
6376,1048,32,14,18
12080,1049,32,14,18
11264,1050,32,19,13
11592,1051,32,17,15
9952,1052,31,18,13
9144,1053,31,17,14
8696,1054,31,14,17
6248,1055,31,17,14
9696,1056,31,15,16
7576,1057,31,20,11
11064,1058,31,11,20
4712,1059,31,17,14
8952,1060,31,18,13
9344,1061,31,18,13
8288,1062,31,15,16
8168,1063,31,17,14
11960,1064,31,14,17
11512,1065,31,16,15
6712,1066,31,16,15
7592,1067,31,14,17
6920,1068,31,16,15
9480,1069,31,17,14
13216,1070,31,16,15
9680,1071,31,14,17
8328,1072,31,12,19
6976,1073,31,13,18
10728,1074,31,17,14
7392,1075,31,17,14
6536,1076,31,16,15
7616,1077,31,13,18
10752,1078,31,17,14
8848,1079,31,18,13
6648,1080,31,19,12
10712,1081,31,14,17
7152,1082,31,21,10
8128,1083,31,19,12
8144,1084,31,17,14
8200,1085,31,14,17
7368,1086,31,16,15
8464,1087,31,20,11
11568,1088,31,15,16
7136,1089,31,17,14
11848,1090,31,15,16
9688,1091,30,12,18
11584,1092,30,19,11
6616,1093,30,16,14
7720,1094,30,18,12
10288,1095,30,19,11
7120,1096,30,14,16
9880,1097,30,15,15
8560,1098,30,13,17
9224,1099,30,11,19
10272,1100,30,18,12
8616,1101,30,16,14
8744,1102,30,8,22
6768,1103,30,16,14
10744,1104,30,18,12
9104,1105,30,13,17
9504,1106,30,15,15
9312,1107,30,14,16
6936,1108,30,16,14
8608,1109,30,19,11
9416,1110,30,16,14
10808,1111,30,13,17
10000,1112,30,18,12
9384,1113,30,13,17
8192,1114,30,14,16
6928,1115,30,20,10
8040,1116,30,14,16
11976,1117,30,18,12
6744,1118,30,14,16
7144,1119,30,11,19
7384,1120,30,13,17
10784,1121,30,18,12
7752,1122,30,14,16
7904,1123,30,17,13
11184,1124,30,11,19
8424,1125,30,10,20
7776,1126,30,15,15
7448,1127,30,17,13
9368,1128,30,17,13
10984,1129,30,14,16
9272,1130,30,12,18
9336,1131,30,13,17
8392,1132,29,9,20
8640,1133,29,14,15
10616,1134,29,14,15
10104,1135,29,11,18
7512,1136,29,15,14
8552,1137,29,17,12
10040,1138,29,14,15
9080,1139,29,13,16
8768,1140,29,10,19
8528,1141,29,16,13
8344,1142,29,16,13
10032,1143,29,15,14
7816,1144,29,21,8
7000,1145,29,16,13
9232,1146,29,10,19
10648,1147,29,10,19
11160,1148,29,9,20
7648,1149,29,15,14
11872,1150,29,13,16
11536,1151,29,12,17
10240,1152,29,17,12
9784,1153,29,18,11
10968,1154,29,16,13
10528,1155,29,14,15
8928,1156,29,18,11
10544,1157,29,12,17
11224,1158,29,14,15
8776,1159,29,15,14
8032,1160,29,15,14
11704,1161,29,14,15
6704,1162,29,15,14
11792,1163,29,18,11
10328,1164,29,11,18
8648,1165,29,16,13
7944,1166,29,15,14
8920,1167,29,14,15
14280,1168,29,17,12
11048,1169,29,13,16
8512,1170,29,14,15
11384,1171,29,13,16
9928,1172,29,10,19
9992,1173,29,15,14
10056,1174,29,13,16
8840,1175,29,12,17
9600,1176,29,10,19
9016,1177,29,11,18
7864,1178,29,12,17
9128,1179,29,16,13
7936,1180,29,16,13
10768,1181,29,12,17
8088,1182,29,12,17
11712,1183,29,15,14
8792,1184,29,12,17
9088,1185,29,15,14
11088,1186,28,11,17
9056,1187,28,15,13
9888,1188,28,12,16
11120,1189,28,14,14
8208,1190,28,18,10
10960,1191,28,12,16
9360,1192,28,16,12
9800,1193,28,13,15
9920,1194,28,16,12
8352,1195,28,12,16
15352,1196,28,14,14
9176,1197,28,8,20
7048,1198,28,15,13
9776,1199,28,14,14
8416,1200,28,17,11
10376,1201,28,17,11
5752,1202,28,14,14
6224,1203,28,14,14
9616,1204,28,18,10
10264,1205,28,9,19
15312,1206,28,8,20
16400,1207,28,12,16
9304,1208,28,14,14
13136,1209,28,20,8
9848,1210,28,11,17
14464,1211,28,16,12
12256,1212,28,9,19
5912,1213,28,10,18
11696,1214,28,14,14
11496,1215,28,11,17
12488,1216,28,9,19
9576,1217,28,17,11
13872,1218,28,18,10
7760,1219,28,17,11
13072,1220,28,11,17
10384,1221,28,12,16
10560,1222,28,14,14
13480,1223,28,15,13
8808,1224,28,16,12
8624,1225,28,14,14
11272,1226,28,9,19
13784,1227,28,17,11
13152,1228,28,17,11
13960,1229,28,12,16
11504,1230,28,14,14
10800,1231,28,15,13
13256,1232,28,9,19
10168,1233,28,13,15
8488,1234,28,16,12
9976,1235,28,14,14
10440,1236,28,13,15
10656,1237,28,11,17
12856,1238,27,13,14
13496,1239,27,13,14
11640,1240,27,11,16
9288,1241,27,15,12
8048,1242,27,15,12
8432,1243,27,15,12
13848,1244,27,14,13
10160,1245,27,10,17
10464,1246,27,12,15
17112,1247,27,8,19
11904,1248,27,14,13
9840,1249,27,15,12
10408,1250,27,16,11
13040,1251,27,12,15
16272,1252,27,14,13
11888,1253,27,13,14
